meic_det1_solenoid_dual_coil_inner  |                root  |meic_det1_solenoid_dual_coil_inner  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          150*cm 160*cm 160*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_outer  |                root  |meic_det1_solenoid_dual_coil_outer  |                                 0*cm 0*cm 70.9*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                    230.5*cm 236.5*cm 400.1*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_side_eleside  |                root  |meic_det1_solenoid_dual_coil_side_eleside  |                               0*cm 0*cm -140.2*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                         150*cm 162.4*cm 20*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_side_ionside  |                root  |meic_det1_solenoid_dual_coil_side_ionside  |                                0*cm 0*cm 220.8*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                         150*cm 162.4*cm 20*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_eleside_2  |                root  |meic_det1_solenoid_dual_coil_eleside_2  |                               0*cm 0*cm -345.1*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                            62*cm 79*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_eleside_3  |                root  |meic_det1_solenoid_dual_coil_eleside_3  |                               0*cm 0*cm -345.1*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                           93*cm 110*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_eleside_4  |                root  |meic_det1_solenoid_dual_coil_eleside_4  |                               0*cm 0*cm -345.1*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          123*cm 140*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_eleside_5  |                root  |meic_det1_solenoid_dual_coil_eleside_5  |                               0*cm 0*cm -345.1*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          154*cm 171*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_eleside_6  |                root  |meic_det1_solenoid_dual_coil_eleside_6  |                               0*cm 0*cm -345.1*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          184*cm 201*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_eleside_7  |                root  |meic_det1_solenoid_dual_coil_eleside_7  |                               0*cm 0*cm -345.1*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          214*cm 231*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_ionside_2  |                root  |meic_det1_solenoid_dual_coil_ionside_2  |                                0*cm 0*cm 486.9*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                            62*cm 79*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_ionside_3  |                root  |meic_det1_solenoid_dual_coil_ionside_3  |                                0*cm 0*cm 486.9*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                           93*cm 110*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_ionside_4  |                root  |meic_det1_solenoid_dual_coil_ionside_4  |                                0*cm 0*cm 486.9*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          123*cm 140*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_ionside_5  |                root  |meic_det1_solenoid_dual_coil_ionside_5  |                                0*cm 0*cm 486.9*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          154*cm 171*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_ionside_6  |                root  |meic_det1_solenoid_dual_coil_ionside_6  |                                0*cm 0*cm 486.9*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          184*cm 201*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_coil_ionside_7  |                root  |meic_det1_solenoid_dual_coil_ionside_7  |                                0*cm 0*cm 486.9*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Tube  |                          214*cm 231*cm 3.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_cryo_eleside  |                root  |meic_det1_solenoid_dual_cryo_eleside  |                               0*cm 0*cm -205.2*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Cons  |             230*cm 232*cm 165*cm 167*cm 65*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_dual_cryo_ionside  |                root  |meic_det1_solenoid_dual_cryo_ionside  |                                0*cm 0*cm 320.8*cm  |                       0*deg 0*deg 0*deg  | C0C0C0   |                Cons  |            165*cm 167*cm 230*cm 232*cm 100*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole1_outer  |                root  |meic_det1_magnet_ele_downstream_dipole1_outer  |               -0.02999800004*m 0*m -11.58288947*m  |                   0*rad -0.02*rad 0*rad  | 00FF00   |                 Box  |                                           11*cm 11*cm 1.5*m  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole2_outer  |                root  |meic_det1_magnet_ele_downstream_dipole2_outer  |               -0.2598238048*m 0*m -18.778891265*m  |                0*rad -0.02125*rad 0*rad  | 00FF00   |                 Box  |                                           11*cm 11*cm 1.5*m  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole2a_outer  |                root  |meic_det1_magnet_ele_downstream_dipole2a_outer  |              -0.29325890455*m 0*m -21.028550845*m  |                0*rad -0.00125*rad 0*rad  | 00FF00   |                 Box  |                                          11*cm 11*cm 0.25*m  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole3a_outer  |                root  |meic_det1_magnet_ele_downstream_dipole3a_outer  |              -0.29325890455*m 0*m -24.728550455*m  |                 0*rad 0.00125*rad 0*rad  | 00FF00   |                 Box  |                                          11*cm 11*cm 0.25*m  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole3_outer  |                root  |meic_det1_magnet_ele_downstream_dipole3_outer  |                -0.2598238048*m 0*m -26.97821004*m  |                 0*rad 0.02125*rad 0*rad  | 00FF00   |                 Box  |                                           11*cm 11*cm 1.5*m  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole4_outer  |                root  |meic_det1_magnet_ele_downstream_dipole4_outer  |               -0.02999800004*m 0*m -34.17421184*m  |                    0*rad 0.02*rad 0*rad  | 00FF00   |                 Box  |                                           11*cm 11*cm 1.5*m  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole1_inner  |meic_det1_magnet_ele_downstream_dipole1_outer  |meic_det1_magnet_ele_downstream_dipole1_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                             4*cm 4*cm 1.5*m  |              Vacuum  |meic_det1_ele_downstream_dipole1_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole2_inner  |meic_det1_magnet_ele_downstream_dipole2_outer  |meic_det1_magnet_ele_downstream_dipole2_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                             4*cm 4*cm 1.5*m  |              Vacuum  |meic_det1_ele_downstream_dipole2_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole2a_inner  |meic_det1_magnet_ele_downstream_dipole2a_outer  |meic_det1_magnet_ele_downstream_dipole2a_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                            4*cm 4*cm 0.25*m  |              Vacuum  |meic_det1_ele_downstream_dipole2a_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole3a_inner  |meic_det1_magnet_ele_downstream_dipole3a_outer  |meic_det1_magnet_ele_downstream_dipole3a_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                            4*cm 4*cm 0.25*m  |              Vacuum  |meic_det1_ele_downstream_dipole3a_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole3_inner  |meic_det1_magnet_ele_downstream_dipole3_outer  |meic_det1_magnet_ele_downstream_dipole3_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                             4*cm 4*cm 1.5*m  |              Vacuum  |meic_det1_ele_downstream_dipole3_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole4_inner  |meic_det1_magnet_ele_downstream_dipole4_outer  |meic_det1_magnet_ele_downstream_dipole4_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                             4*cm 4*cm 1.5*m  |              Vacuum  |meic_det1_ele_downstream_dipole4_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_dipole1_front  |meic_det1_magnet_ele_downstream_dipole1_inner  |meic_det1_magnet_ele_downstream_dipole1_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22111 
meic_det1_magnet_ele_downstream_dipole2_front  |meic_det1_magnet_ele_downstream_dipole2_inner  |meic_det1_magnet_ele_downstream_dipole2_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22121 
meic_det1_magnet_ele_downstream_dipole2a_front  |meic_det1_magnet_ele_downstream_dipole2a_inner  |meic_det1_magnet_ele_downstream_dipole2a_front  |                            0*m 0*m 0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22131 
meic_det1_magnet_ele_downstream_dipole3a_front  |meic_det1_magnet_ele_downstream_dipole3a_inner  |meic_det1_magnet_ele_downstream_dipole3a_front  |                            0*m 0*m 0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22141 
meic_det1_magnet_ele_downstream_dipole3_front  |meic_det1_magnet_ele_downstream_dipole3_inner  |meic_det1_magnet_ele_downstream_dipole3_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22151 
meic_det1_magnet_ele_downstream_dipole4_front  |meic_det1_magnet_ele_downstream_dipole4_inner  |meic_det1_magnet_ele_downstream_dipole4_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22161 
meic_det1_magnet_ele_downstream_dipole1_back  |meic_det1_magnet_ele_downstream_dipole1_inner  |meic_det1_magnet_ele_downstream_dipole1_back  |                           0*m 0*m -1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22112 
meic_det1_magnet_ele_downstream_dipole2_back  |meic_det1_magnet_ele_downstream_dipole2_inner  |meic_det1_magnet_ele_downstream_dipole2_back  |                           0*m 0*m -1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22122 
