          region3_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 2  |                                    0*cm 0*cm 0*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |-2.75*cm -25*deg 90*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 2  |                                    0*cm 0*cm 0*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |-2.75*cm -25*deg 90*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 2  |                                    0*cm 0*cm 0*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |-2.75*cm -25*deg 90*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 2  |                                    0*cm 0*cm 0*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |-2.75*cm -25*deg 90*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg 3.69*cm -4.5877*cm 2.0877*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       sl1_layer1_s1  |          region1_s1  |Region 0, Super Layer 1, layer 1, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s2  |          region1_s2  |Region 0, Super Layer 1, layer 1, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s3  |          region1_s3  |Region 0, Super Layer 1, layer 1, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s4  |          region1_s4  |Region 0, Super Layer 1, layer 1, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s5  |          region1_s5  |Region 0, Super Layer 1, layer 1, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s6  |          region1_s6  |Region 0, Super Layer 1, layer 1, Sector 6  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer2_s1  |          region1_s1  |Region 0, Super Layer 1, layer 2, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s2  |          region1_s2  |Region 0, Super Layer 1, layer 2, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s3  |          region1_s3  |Region 0, Super Layer 1, layer 2, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s4  |          region1_s4  |Region 0, Super Layer 1, layer 2, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s5  |          region1_s5  |Region 0, Super Layer 1, layer 2, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s6  |          region1_s6  |Region 0, Super Layer 1, layer 2, Sector 6  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer3_s1  |          region1_s1  |Region 0, Super Layer 1, layer 3, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s2  |          region1_s2  |Region 0, Super Layer 1, layer 3, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s3  |          region1_s3  |Region 0, Super Layer 1, layer 3, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s4  |          region1_s4  |Region 0, Super Layer 1, layer 3, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s5  |          region1_s5  |Region 0, Super Layer 1, layer 3, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s6  |          region1_s6  |Region 0, Super Layer 1, layer 3, Sector 6  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer4_s1  |          region1_s1  |Region 0, Super Layer 1, layer 4, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s2  |          region1_s2  |Region 0, Super Layer 1, layer 4, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s3  |          region1_s3  |Region 0, Super Layer 1, layer 4, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s4  |          region1_s4  |Region 0, Super Layer 1, layer 4, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s5  |          region1_s5  |Region 0, Super Layer 1, layer 4, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s6  |          region1_s6  |Region 0, Super Layer 1, layer 4, Sector 6  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer5_s1  |          region1_s1  |Region 0, Super Layer 1, layer 5, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s2  |          region1_s2  |Region 0, Super Layer 1, layer 5, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s3  |          region1_s3  |Region 0, Super Layer 1, layer 5, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s4  |          region1_s4  |Region 0, Super Layer 1, layer 5, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s5  |          region1_s5  |Region 0, Super Layer 1, layer 5, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s6  |          region1_s6  |Region 0, Super Layer 1, layer 5, Sector 6  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 5 wire manual 1 
